,Name,Hometown,High School,Year,sport
982,Riley Smyth,"Cary, NC",Cardinal Gibbons,2018,wgolf
983,Haeley Wotnosky,"Wake Forest, NC",Southern Wake Academy,2018,wgolf
984,Virginia Bossi,"Como, Italy",HS,2019,wgolf
992,Celeste Valinho,"Jacksonville, Fla.",Providence School,2019,wgolf
994,Virginia Bossi,"Como, Italy",,2020,wgolf
995,Jennifer Cleary,"Wilmington, Del.",Tower Hill School,2020,wgolf
997,Beth Lillie,"Fullerton, Calif.",Troy,2020,wgolf
999,Rebecca Skoler,"Needham, Mass.",Beaver Country Day School,2020,wgolf
1000,Sky Sload,"Keswick, Va.",Briar Woods,2020,wgolf
1001,Riley Smyth,"Cary, N.C.",Cardinal Gibbons,2020,wgolf
1006,Allie Kantor,"Milton, Ga.",Blessed Trinity Catholic,2021,wgolf
1008,Megan Propeck,"Leawood, Kans.",Notre Dame de Sion,2021,wgolf
1009,Amanda Sambach,"Pinehurst, N.C.",The Cannon School,2021,wgolf
1014,Ally Black,"Austin, Texas",Westlake High School,2022,wgolf
1017,Josephine Genereux,"Greenwich, Conn",Greenwich Academy,2022,wgolf
1018,Maline Kraus,"Düsseldorf, Germany",SLR Academy,2022,wgolf
1024,Kiera Bartholomew,"Wake Forest, N.C.",North Raleigh Christian Academy,2023,wgolf
1028,Jaclyn LaHa,"Pleasanton, Calif.",Amador Valley,2023,wgolf
1033,Chelsea Adams,"Chesapeake, Va.",Great Bridge,2013,wrow
1034,Anastasia Asher,"Charlottesville, Va.",Western Albemarle,2013,wrow
1035,Emmy Bateman,"Stanwood, Wash.",Holy Names Academy,2013,wrow
1036,Christine Bauk,"Leonardtown, Md.",Leonardtown,2013,wrow
1037,Hemingway Benton,"Glencoe, Ill.",New Trier,2013,wrow
1038,Ellie Biddle,"South Salem, N.Y.",St. Luke's,2013,wrow
1039,Maggie Bowman-Jones,"Moss Beach, Calif.",Terra Nova,2013,wrow
1040,Marijane Brennan,"Grosse Pointe Farms, Mich.",Grosse Pointe South,2013,wrow
1041,Erin Briggs,"Orono, Minn.",Orono,2013,wrow
1042,Caroline Burke,"South Dartmouth, Mass.",Tabor Academy,2013,wrow
1043,Sam Casto,"Dallas, Pa.",Dallas,2013,wrow
1044,Madelyn Clark,"Mechanicsville, Va.",Hanover,2013,wrow
1045,Kathryn Cook,"Norfolk, Va.",Norfolk Academy,2013,wrow
1046,Kameryn Corcoran,"Middletown, Md.",Middletown,2013,wrow
1047,Emily Crump,"Darien, Conn.",Darien,2013,wrow
1048,Claire Cundiff,"Arlington, Va.",Thomas Jefferson,2013,wrow
1049,Tessa Dikkers,"Pelham, N.Y.",Pelham Memorial,2013,wrow
1050,Allie Donini,"Summit, N.J.",Oak Knoll School of the Holy Child,2013,wrow
1051,Alysse Dowdy,"Chesapeake, Va.",Clear Springs,2013,wrow
1052,Constanze Duell,"Oberschleissheim, Germany",,2013,wrow
1053,Kaitlin Fanikos,"Boston, Mass.",Phillips Academy,2013,wrow
1054,Marissa Garey,"Salem, Mass.",Groton School,2013,wrow
1055,Jo Gurman,"Weston, Conn.",Weston,2013,wrow
1056,Ella Haar,"Amsterdam, The Netherlands",,2013,wrow
1057,Jill Hannink,"Winter Park, Fla.",Winter Park,2013,wrow
1058,Ashley Hendrickson,"Centreville, Va.",Centreville,2013,wrow
1059,Brandy Herald,"Portland, Ore.",Lake Oswego,2013,wrow
1060,Dani Hester,"Middleburg, Va.",Freedom,2013,wrow
1061,Kristen Hickman,"Gloucester, Va.",Gloucester,2013,wrow
1062,Maddie Hilbrant,"Winnetka, Ill.",New Trier,2013,wrow
1063,Alissa Hornung,Weston,Weston High School,2013,wrow
1064,Kelsey Hunt,"Boulder, Colo.",Fairview,2013,wrow
1065,Liv Hutton,"Purcellville, Va.",Woodgrove,2013,wrow
1066,Sarah Ianni,"Woodbridge, Va.",CD Hylton High School,2013,wrow
1067,Sarah Jordan,"Flourtown, Pa.",Mount Saint Joseph Academy,2013,wrow
1068,Lexie Katz,"Wayne, Pa.",Radnor,2013,wrow
1069,Maddie Keating,"Severna Park, Md.",Severna Park,2013,wrow
1070,Hannah Kessenich,"Waxhaw, N.C.",Marvin Ridge,2013,wrow
1071,Hayley LaFleche,"New York, N.Y.",Columbia Prep,2013,wrow
1072,Chandler Lally,"Bryn Mawr, Pa.",Radnor,2013,wrow
1073,Brodde Lamb,"Charlottesville, Va.",Charlottesville,2013,wrow
1074,Taylor Leonard,"Arlington, Va.",Washington Lee,2013,wrow
1075,Paula Lewis,"Virginia Beach, Va.",Princess Anne,2013,wrow
1076,Colette Lucas-Conwell,"Palo Alto, Calif.",Palo Alto,2013,wrow
1077,Dana Lueker,"Williamsburg, Va.",Lafayette,2013,wrow
1078,Dylan MacDonald,"Lincoln, Mass.",Phillips Academy,2013,wrow
1079,Lyndsay Martini,"Falls Church, Va.",Bishop Ireton,2013,wrow
1080,Kaity McCullough,"Campbell, Calif.",Presentation,2013,wrow
1081,Sarah McGovern,"Bala Cynwyd, Pa.",Episcopal Academy,2013,wrow
1082,Andie McPartland,"Poway, CA",Poway,2013,wrow
1083,Catherine Multari,"LaSalle, Ontario",Holy Names,2013,wrow
1084,Elle Murray,"Tampa, Fla.",Plant,2013,wrow
1085,Allie Nicholson,"Charlottesville, Va.",St. Anne's-Belfield,2013,wrow
1086,Mary Nilan,"Milford, Conn.",Saint Joseph,2013,wrow
1087,Hannah Osborne,"Waitomo Caves, New Zealand",Waikato Diocesan,2013,wrow
1088,Ellen Pate,"Lafayette, Calif.",Miramonte,2013,wrow
1089,Emily Pik,"Darien, Conn.",Darien,2013,wrow
1090,Grace Plachy,"Amagansett, N.Y.",St. Paul's,2013,wrow
1091,Georgia Ratcliff,"Falls Church, Va.",James Madison,2013,wrow
1092,Jennifer Reid,"Stafford, Va.",Mountain View High School,2013,wrow
1093,Allison Robertson,"Danville, Va.",George Washington HS,2013,wrow
1094,Julia Roithmayr,"Yorktown, Va.",York,2013,wrow
1095,Dani Roques,"Fairfax Station, Va.",South County,2013,wrow
1096,Fiona Schlesinger,"New Malden, Surrey, UK",Lady Eleanor Holles,2013,wrow
1097,Jamie Schug,"Virginia Beach, Va.",Frank W Cox,2013,wrow
1098,Karen Schulte,"Trout Run, Pa.",Montoursville Area,2013,wrow
1099,Lindsay Shallman,"Lake Oswego, Ore.",Lake Oswego,2013,wrow
1100,Mackenzi Sherman,"Los Alamitos, Calif.",Hope Christian Academy,2013,wrow
1101,Hannah Solis-Cohen,"New York, N.Y.",Northfield Mount Hermon,2013,wrow
1102,Chloe Sykes,"Ashburn, Va.",Herndon,2013,wrow
1103,Paige Terry,"Greenwich, Conn.",Convent of the Sacred Heart,2013,wrow
1104,Stephanie Turnbull,"Ancaster, Ontario",,2013,wrow
1105,Grace Tuttle,"Vienna, Va.",James Madison HS,2013,wrow
1106,Nina Vascotto,"Huntington, N.Y.",Friends Academy,2013,wrow
1107,Alexandra Williams,"Melbourne, Australia",,2013,wrow
1108,Hannah Yoest,"Arlington, Va.",Yorktown,2013,wrow
1109,Lizzy Youngling,"Westport, Conn.",Staples,2013,wrow
1110,Ali Zwicker,"Victoria, British Columbia",Claremont,2013,wrow
1125,Lauchlan Davis,"Lookout Mountain, Tenn.",Girls Preparatory,2014,wrow
1126,Rachel Dick,"Bethesda, Md.",Bethesda-Chevy Chase,2014,wrow
1128,Sarah Dodge,"Front Royal, Va.",Skyline,2014,wrow
1130,Anna Ellis,"Atlanta, Ga.",The Westminster Schools,2014,wrow
1131,Colby Fagan,"Dover, Mass.",Phillips Andover Academy,2014,wrow
1132,Anna Fairs,"Thorpe Thewles, England",St. Michael's,2014,wrow
1134,Ashley Gale,"Crozet, Va.",Western Albemarle,2014,wrow
1135,Mary Beth Greer,"Wilton, Conn.",Wilton,2014,wrow
1138,Adi Hendlin,"Tallahassee, Fla.",Lawton Chiles,2014,wrow
1139,Jane Hudson,"Sandy, Utah",The Waterford School,2014,wrow
1148,Carly Levinstein,"Fairfax Station, Va.",South County,2014,wrow
1154,Elsa McLean,"Middletown, Del.",St. Andrew's School,2014,wrow
1156,Kendall Mueller,"Houston, Texas",Bishop Lynch,2014,wrow
1160,Marissa Patrick,"Vienna, Va.",James Madison,2014,wrow
1165,Morgan Rosts,"Jordan, Ontario",Simcoe Secondary,2014,wrow
1169,Shawna Sims,"Sarasota, Fla.",Venice,2014,wrow
1171,Eliza Spilsbury,"Centreville, Mass.",The Kent School,2014,wrow
1172,Mackenzie Springer,"Fairfax, Va.",Oakton,2014,wrow
1173,Ellie Stewart,"London, England",Charterhouse,2014,wrow
1174,Haley Swanson,"Severna Park, Md.",Severna Park,2014,wrow
1188,Eliza Daniels,"Hingham, Mass.",Hingham,2015,wrow
1189,Alice Darry,"West Melton, New Zealand",St. Margaret's College,2015,wrow
1193,Melody Gordon,"Dumfries, Va.",Forest Park,2015,wrow
1194,Georgia Gray,"Seattle, Wash.",Kings,2015,wrow
1199,Mackenzie King,"Yardley, Pa.",Bucks County Technical,2015,wrow
1202,Heidi Long,"Buckinghamshire, England",Beaconsfield,2015,wrow
1203,Maxime Lubbers,"Amsterdam, The Netherlands",Christelijk Lyceum Delft,2015,wrow
1207,Laurie Moore,"Charlotte, N.C.",Myers Park,2015,wrow
1209,Alexandra Natale,"Basking Ridge, N.J.",Hun School of Princeton,2015,wrow
1214,Reagan Redman,"Fairfax Station, Va.",J.W. Robinson Secondary School,2015,wrow
1219,Molly Shields,"Mechanicsville, Va.",Atlee,2015,wrow
1220,Alex Slabbert,"Cos Cob, Conn.",Greenwich,2015,wrow
1227,Izzi Weiss,"Chicago, Ill.",The Latin School,2015,wrow
1229,Evie Anguelov,"Toronto, Ontario",Kent School,2016,wrow
1230,Grace Bentley,"Andover, Mass.",Andover,2016,wrow
1233,Sara Cliborne,"Henrico, Va.",Henrico,2016,wrow
1238,Kate Edmondson,"Westfield, N.J.",Westfield,2016,wrow
1240,Diana Felix,"Long Beach, Calif.",St. Joseph,2016,wrow
1241,Shiann Gardner,"Cambridge, Mass.",Rindge and Latin School,2016,wrow
1242,Eva Gobourne,"Washington, D.C.",Holton-Arms School,2016,wrow
1247,Kate Hastings,"Wilmington, Del.","Mercersburg, Academy",2016,wrow
1251,Gaby Kulesz,"Darien, Conn.",Darien,2016,wrow
1259,Isabel Ott,"Tiburon, Calif.",Urban School of San Francisco,2016,wrow
1262,Lauren Poland,"Chicago, Ill.",Fenwick,2016,wrow
1263,Carolina Ratcliff,"Falls Church, Va.",James Madison,2016,wrow
1268,Emma Sharon,"Chelmsford, Mass.",Lexington Christian Academy,2016,wrow
1273,Isabella Strickler,"Grosse Pointe, Mich.",Grosse Point South,2016,wrow
1275,Lizzie Trull,"Wellesley, Mass.",Noble and Greenough School,2016,wrow
1277,Hannah Watson,"Chesapeake, Va.",Home Schooled,2016,wrow
1279,Carrie Wentzel,"San Anselmo, Calif.",The Branson School,2016,wrow
1280,Reilly White,"Wyckoff, N.J.",Ramapo,2016,wrow
1281,To Wiersma,"Amsterdam, The Netherlands",St. Ignatius Gymnasium,2016,wrow
1282,Maria Zeris,"Moorestown, N.J.",Merion Mercy Academy,2016,wrow
1284,Emily Ashton,"Albany, N.Y.",Albany Academies,2017,wrow
1286,Christina Berchtold,"Wiesbaden, Germany",Rudergesellschaft Wiesbaden-Biebrich,2017,wrow
1287,Abbie Bird,"Ascot, England",Furze Platt Senior School,2017,wrow
1288,Grace Brown,"Moraga, Calif.",Campolindo,2017,wrow
1289,Jamey Bulloch,"Johannesburg, South Africa",St. Andrews School for GirlsAwar,2017,wrow
1290,Alexa Cestaro,"Larchmont, N.Y.",Mamaroneck,2017,wrow
1292,Grace Comerford,"Wyndmoor, Pa.",Mount Saint Joseph Academy,2017,wrow
1293,Emily Condlin,"Richmond, Va.",St. Catherine's School,2017,wrow
1295,Star Davidson,"Canterbury, N.Z.",St. Margaret’s College,2017,wrow
1297,Erin Dubas,"Falls Church, Va.",Jeb Stuart,2017,wrow
1301,Emiliana Geronimo,"Newark, N.J.",St. Paul's School,2017,wrow
1302,Colette Glass,"Tampa, Fl.",Kent School,2017,wrow
1306,Gabby Grob,"Henrico, Va.",Maggie L. Walker Governor's School,2017,wrow
1307,Sophia Groder,"Springfield, Va.",West Springfield,2017,wrow
1311,Sophia Kershner,"Palmyra, Va.",Fluvanna County,2017,wrow
1314,Bonnie Laingen,"Haymarket, Va.",Battlefield,2017,wrow
1316,Casey Martin,"Newport News, Va.",Gloucester High School,2017,wrow
1317,Phebe Martin,"Richmond, Va.",Trinity Episcopal School,2017,wrow
1319,Tessa Otting,"Evanston, Ill.",Evanston Township,2017,wrow
1321,Sophie Pennoyer,"Hartford, Conn.",Kingswood Oxford School,2017,wrow
1323,Sarah Rambo,"Lewes, Del.",Cape Henlopen,2017,wrow
1329,Jordan Stansfield,"Glen Mills, Pa.",Garnet Valley,2017,wrow
1331,Katrina Strash,"Claremont, Calif.",Claremont,2017,wrow
1334,Kathy Tao,"Vienna, Va.",Lake Braddock Secondary School,2017,wrow
1335,Maggie Taylor,"Vero Beach, Fla.",Saint Edward's School,2017,wrow
1336,Fiona Teevan-Kamhawi,"Norfolk, Va.",Granby,2017,wrow
1338,Martine van den Boomgaard,"Amsterdam, Netherlands",,2017,wrow
1339,Grace von Elten,"Crozet, Va.",Western Albemarle,2017,wrow
1340,Carrie Warner,"East London, South Africa",Clarendon High School for Girls,2017,wrow
1341,Claire Waterhouse,"Virginia Beach, Va.",Bishop Sullivan Catholic,2017,wrow
1347,Maggie Wittpenn,"Califon, N.J.",Voorhees,2017,wrow
1351,Lindsay Barkett,"Vero Beach, Fl.",Vero Beach High School,2018,wrow
1352,Hailey Barnett,"Philadelphia, Pa.",The Baldwin School,2018,wrow
1357,Serena Chmelar,"Summit, N.J.",Summit High School,2018,wrow
1370,Astrid Henkle,"Washington, D.C.",Wakefield High School,2018,wrow
1371,Rose Kelly,"Lawrence, Mass.",Wamogo Regional High School,2018,wrow
1373,Livia Kimche,"Park City, UT",Park City High School,2018,wrow
1375,Nicola Lawless,"London, England",St. Paul's Girls' School,2018,wrow
1378,Theresa Matthews,"Beaverdam, VA",Patrick Henry High School,2018,wrow
1379,Josephine Oakley,"McLean, Va.",McLean High School,2018,wrow
1381,Eleanor Ozer,"Galax, Georgia",Galax High School,2018,wrow
1382,Amelia Parizek,"McLean, Virginia",National Cathedral School,2018,wrow
1385,Charlotte Quinn,"Western Springs, Il.",Fenwick High School,2018,wrow
1386,Brooke Rickert,"Florence, Ky.",Ryle High School,2018,wrow
1387,Olivia Schulz,"Williamsburg, Va.",Warhill High School,2018,wrow
1394,Alli Terblanche,"Johannesburg, South Africa",St. Mary's School Waverly,2018,wrow
1403,Mary Wright,"Birmingham, United Kingdom",The Henley College,2018,wrow
1404,Pelin Yirmibesoglu,"Martinsville, Va.",Liceo Italiano di Istanbul,2018,wrow
1405,Brooke Alexander,"Midlothian, Va.",James River,2019,wrow
1407,Tahne Badenhorst,"Benoni, South Africa",St. Andrews School for Girls,2019,wrow
1411,Larkin Brown,"Ringgold, Ga.",Girls Prepatory School,2019,wrow
1416,Janet Conklin,"Norwood, N.J.",Phillips Academy Andover,2019,wrow
1417,Parker Cuthbertson,"Westport, Conn.",Staples,2019,wrow
1419,Katy Flynn,"Churchville, N.Y.",Churchville-Chili Senior High,2019,wrow
1430,Sam Mazza,"Worthington, Ohio",Thomas Worthington,2019,wrow
1431,Lauren Orr,"Hood River, Ore.",Hood River Valley,2019,wrow
1433,Amelia Parizek,"McLean, Va.",National Cathedral School,2019,wrow
1436,Casey Reed,"Belmont, Mass.",Belmont,2019,wrow
1438,Carter Shields,"Port Washington, NY",Paul D. Schreiber High School,2019,wrow
1439,Bianka Smeulders,"Pittsford, N.Y.",Mendon,2019,wrow
1440,Katie Stephens,"Newport Beach, Calif.",St. Margaret's Episcopal School,2019,wrow
1443,Leia Till,"Potomac, Md.",Walt Whitman,2019,wrow
1444,Julia Trull,"Wellesley, Mass.",Noble and Greenough School,2019,wrow
1446,ViVi Van Ingen,"Darien, Conn.",Darien,2019,wrow
1451,Camille Williams,"Atlanta, Ga.",Atlanta International School,2019,wrow
1457,Lauren Benedict,"McLean, Va.",McLean,2020,wrow
1458,Cameron Bentley,"Basking Ridge, N.J.",Blair Academy,2020,wrow
1459,Lily Bernero,"Springfield, Va.",Bishop O'Connell,2020,wrow
1461,Izzie Bird,"Ascot, England",Furze Platt Senior School,2020,wrow
1462,Emma Bradish,"Kentfield, Calif.",Marin Catholic,2020,wrow
1465,Brooke Carmody,"Falls Church, Va.",Justice,2020,wrow
1471,Caity Driver,"Crozet, Va.",Western Albemarle,2020,wrow
1473,Eva Frohnhofer,"New York, N.Y.",Convent of the Sacred Heart,2020,wrow
1474,Kelsey Gems,"Johannesburg, South Africa",St. Andrew's High School for Girls,2020,wrow
1476,Colette Glass,"Tampa, Fla.",Kent School,2020,wrow
1477,Nora Grabcheski,"Montclair, N.J.",Montclair,2020,wrow
1479,Erin Hallaby,"Johannesburg, South Africa",St. Andrew's High School for Girls,2020,wrow
1480,Lily Jarrett,"Weston, Mass.",Middlesex School,2020,wrow
1481,Beatrice Jones,"Delmar, N.Y.",Bethlehem Central,2020,wrow
1482,Katherine Kelly,"Vashon Island, Wash.",Vashon Island,2020,wrow
1484,Elizabeth Kilgore,"Madison, N.J.",Academy of St. Elizabeth,2020,wrow
1485,Livia Kimche,"Park City, Utah",Park City High School,2020,wrow
1486,Zoe Klenke,"Reno, Nevada",Earl Wooster,2020,wrow
1488,Grace Lebo,"Nashville, Tenn.",Harpeth Hall School,2020,wrow
1489,Casey Martin,"Gloucester, Va.",Gloucester,2020,wrow
1491,Ailbhe O'Grady,"Sarasota, Fla.",Riverview,2020,wrow
1495,Shannon Pickrell,"Nashville, Tenn.",MLK,2020,wrow
1496,Cate Porter,"Hopewell, N.J.",Kent School,2020,wrow
1497,Charlotte Quinn,"Western Springs, Ill.",Fenwick High School,2020,wrow
1500,Sonja Schlosser,"Deggendorf, Germany",Aloys-Fischer-Schule,2020,wrow
1501,Olivia Sheridan,"New Canaan, Conn.",King School,2020,wrow
1505,Nel Straub,"Bainbridge Island, Wash.",Bainbridge,2020,wrow
1507,Zoe Tekeian,"Cambridge, Mass.",Cambridge Rindge and Latin School,2020,wrow
1509,Reagan Thomas,"Powhatan, Va.",Powhatan,2020,wrow
1511,Alexandra van Dijkum,"Rowayton, Conn.",Phillips Exeter Academy,2020,wrow
1514,Jelani Adorno,"Simsbury, Conn.",The Hotchkiss School,2021,wrow
1519,Izzie Begley,"Moorestown, N.J.",Merion Mercy Academy,2021,wrow
1523,Faye Berry,"Wynnewood, Pa.",Lower Merion,2021,wrow
1527,Caroline Brinkman,"Moorestown, N.J.",Moorestown,2021,wrow
1530,Bella Carter,"Christchurch, New Zealand",Rangi Ruru Girls' School,2021,wrow
1531,Ximena Chico,"The Woodlands, Tx.",The Woodlands,2021,wrow
1533,Sofia Coppola,"White Plains, N.Y.",The Ursuline School,2021,wrow
1535,Sky Dahl,"Minneapolis, Minn.",Centennial High School,2021,wrow
1536,Helene Dimitrijev,"Viljandi, Estonia",Hugo Treffner's Gymnasium,2021,wrow
1537,Sydney Fratamico,"Clinton, Conn.",The Morgan School,2021,wrow
1540,Meagan Goldsmith,"Winter Garden, Fla.",West Orange High,2021,wrow
1542,Jenna Hajji,"Fairfax Station, Va.",South County,2021,wrow
1547,Paige Lane,"San Francisco, Calif.",Kent School,2021,wrow
1550,Chloe Lee,"Annapolis, Md.",Severn School,2021,wrow
1551,Paige Loh,"Monmouth Beach, N.J.",Marine Academy of Science and Technology,2021,wrow
1552,Addison Luce,"Boxford, Mass.",Phillips Exeter Academy,2021,wrow
1553,Kate McGee,"Cincinnati, OH.",Saint Ursula Academy,2021,wrow
1554,Aileen Murray,"Ft. Washington, Pa.",Gwynedd Mercy Academy,2021,wrow
1557,Teagan Orth,"St. Catharines, Ontario, Canada",St. Francis Catholic Secondary School,2021,wrow
1565,Sarah Statler,"Spotsylvania, Va.",Riverbend,2021,wrow
1573,Camille Williams,"Greenwich, Conn.",Blair Academy,2021,wrow
1574,Ava Wisnoski,"Chesterfield, N.J.",Northern Burlington,2021,wrow
1575,Alexa Zavattaro,"Old Greenwich, Conn.",Greenwich,2021,wrow
1578,Natalie Bailey,"Olympia, Wash.",Olympia,2022,wrow
1579,Shelby Bavin,"Alexandria, Va.",Alexandria City,2022,wrow
1583,Dylan Bentley,"Basking Ridge, N.J.",Blair Academy,2022,wrow
1587,Freya Birkas-Dent,"Saratoga Springs, N.Y.",Schuylerville,2022,wrow
1588,Sarah Bradford,"Oconomowoc, Wis.",Divine Savior Holy Angels,2022,wrow
1592,Liv Colston,"Alcoa, Tenn.",Alcoa,2022,wrow
1596,Ava Dargon,"Belmont, Mass.",Belmont,2022,wrow
1598,Savannah Fox,"Bentonville, Ark.",Bentonville,2022,wrow
1604,Hannah Guy,"Nashville, Tenn.",The Ensworth School,2022,wrow
1606,Elsa Hartman,"Roseville, Calif.",Granite Bay,2022,wrow
1608,Lauren Jochims,"Pittsburgh, Pa.",Shady Side Academy,2022,wrow
1610,Reilly Katz,"Port Washington, N.Y.",Paul D. Schieber Senior High,2022,wrow
1618,Ashlyn McGinn,"Fort Lauderdale, Fla.",Pinecrest School,2022,wrow
1619,Alison Miller,"Blackstone, Mass.",St. Mark's School,2022,wrow
1620,Cillian Mullen,"Batavia, Ill.",Batavia,2022,wrow
1622,Lindsay O'Neil,"Boston, Mass.",Hingham,2022,wrow
1626,Katie Rapaglia,"Ridgefield, Conn.",Ridgefield,2022,wrow
1627,Sarah Rapaglia,"Ridgefield, Conn.",Ridgefield,2022,wrow
1628,Riley Richardson,"Ottawa, Ontario, Canada",Cairine Wilson Secondary School,2022,wrow
1631,Lily Spyredes,"Boca Raton, Fla.",Pine Crest School,2022,wrow
1637,Allison Triano,"Stamford, Conn.",The King School,2022,wrow
1639,Catherine Williams,"Rye, N.Y.",Rye,2022,wrow
1643,Izzy Barnes,"Arlington, Va.",Yorktown,2023,wrow
1650,Molly Bidwell,"Pelham, N.Y.",Pelham Memorial,2023,wrow
1653,Stella Bittman,"Welland, Ont.",Notre Dame College School,2023,wrow
1656,Savannah Cogan,"Newton, Mass.",Newton North,2023,wrow
1659,Sophie Curtis,"Darien, Conn.",Darien,2023,wrow
1664,Alice Dommer,"San Carlos, Calif.",Sequoia,2023,wrow
1668,Isabella Furman,"Wilton, Conn.",Wilton,2023,wrow
1670,Sami Goldman,"Old Greenwich, Conn.",Blair Academy,2023,wrow
1676,Lila Henn,"Palo Alto, Calif.",Castilleja School,2023,wrow
1677,Kennedy Housley,"Sarasota, Fla.",Florida Virtual School,2023,wrow
1679,Katherine Jennings,"Wellesley, Mass.",Noble and Greenough School,2023,wrow
1682,Sheila Joyce,"Jamestown, R.I.",Portsmouth Abbey School,2023,wrow
1686,Sally Laurencelle,"Charlottesville, Va.",Western Albemarle,2023,wrow
1693,Paris Miller,"Fishers, Ind.",Brebeuf Jesuit Prep,2023,wrow
1694,Olivia Morin,"Long Island, N.Y.",South Side,2023,wrow
1695,Skylar Morrison,"Haymarket, Va.",Battlefield,2023,wrow
1700,Katelyn Passino,"Chicago, Ill.",Loyola Academy,2023,wrow
1704,Ava Schetlick,"Charlottesville, Va.",St. Anne's-Belfield,2023,wrow
1705,Anna Schrieber,"Budapest, Hungary",Szent Angéla,2023,wrow
1707,Caeley Tierney,"Hackettstown, N.J.",Blair Academy,2023,wrow
1710,Jonathan Cornish,"London, England",Reed's,2012,mten
1711,Dino Dell'Orto,"Hong Kong, China",,2012,mten
1712,Alex Domijan,"Wesley Chapel, Fla.",Saddlebrook Academy,2012,mten
1713,Brian Fang,"Hacienda Heights, Calif.",Laurel Springs,2012,mten
1714,Mitchell Frank,"Annandale, Va.",Annandale,2012,mten
1715,Jarmere Jenkins,"College Park, Ga.",Alpha Omega Academy,2012,mten
1716,Mitchell Polnet,"Churchville, Pa.",Keystone Online,2012,mten
1717,Harrison Richmond,"Pawleys Island, S.C.",Waccamaw,2012,mten
1718,Alex Scheinman,"Los Angeles, Calif.",Home Schooled,2012,mten
1719,Justin Shane,"Falls Church, Va.",JEB Stuart,2012,mten
1720,Ryan Shane,"Falls Church, Va.",JEB Stuart,2012,mten
1721,Mac Styslinger,"Birmingham, Ala.",IMG Academy,2012,mten
1722,Ian Uriguen,"Guatemala City, Guatemala",,2012,mten
1723,Julen Uriguen,"Guatemala City, Guatemala",,2012,mten
1724,J.C. Aragone,"Yorba Linda, Calif.",Parkview,2013,mten
1725,Luca Corinteli,"Alexandria, Va.",Florida Virtual School,2013,mten
1727,Jordan Daigle,"Lafayette, La.",,2013,mten
1730,Thai-Son Kwiatkowski,"Charlotte, N.C.",USTA Player Development,2013,mten
1738,Collin Altamirano,"Sacramento, Calif.",Visions in Education,2014,mten
1745,Alexander Ritschard,"Zurich, Switzerland",,2014,mten
1748,Henrik Wiersholm,"Kirkland, Wash.",K-12 International Academy,2014,mten
1754,Aswin Lizen,"Douglas, Isle of Man",E.S. International School,2015,mten
1760,Ammar Alhaqbani,"Riyadh, Saudi Arabia",Laurel Springs,2016,mten
1761,Ammar Alhogbani,"Alexandria, Va.",Laurel Springs,2016,mten
1768,Carl Soderlund,"Stockholm, Sweden",Stockholm Idrottsgymnasium,2016,mten
1770,Ammar Alhaqbani,"Alexandria, Va.",Laurel Springs,2017,mten
1771,Spencer Bozsik,"Charlottesville, Va.",Laurel Springs School,2017,mten
1772,Jefferson Dockter,"Atlanta, Ga.",Marist School,2017,mten
1774,Matthew Lord,"Bloomfield, Conn.",Kingswood Oxford,2017,mten
1775,Ethan Moszkowski,"New York, N.Y.",Columbia Preparatory School,2017,mten
1776,Jerome Romualdez,"Manila, Philippines",The American Academy,2017,mten
1777,Gianni Ross,"Chicago, Ill.",USTA Player Development,2017,mten
1779,Kyrylo Tsygura,"North Potomac, Md.",IMG Academy,2017,mten
1784,Ryan Goetz,"Greenlawn, N.Y.",Laurel Springs,2018,mten
1788,Brandon Nakashima,"San Diego, Calif.",High Bluff Academy,2018,mten
1793,William Woodall,"Washington, D.C.",Laurel Springs,2018,mten
1797,RJ Fresen,"Short Hills, N.J.",Laurel Springs,2019,mten
1810,Alexander Kiefer,"The Woodlands, Tx.",Laurel Springs,2020,mten
1812,Iñaki Montes de la Torre,"Pamplona, Spain",,2020,mten
1814,Chris Rodesch,"Angelsberg, Luxembourg",,2020,mten
1818,Jeffrey von der Schulenburg,"Zurich, Switzerland",Laurel Springs,2020,mten
1820,Jackson Allen,"Shakopee, Minn.",Shakopee High School,2021,mten
1821,Bar Botzer,"Tel Aviv, Israel",Rotberg High School,2021,mten
1830,Måns Dahlberg,"Gothenburg, Sweden",,2022,mten
1835,Ty Switzer,"New York, N.Y.",Dwight Global,2022,mten
1838,Douglas Yaffa,"Harrison, N.Y.",Dwight Global,2022,mten
1840,Dylan Dietrich,"Zurich, Switzerland",,2023,mten
1842,Edoardo Graziani,"Padua, Italy","Inter Community School (Zurich, Switzerland)",2023,mten
1843,Jack Griffin,"New York, N.Y.",,2023,mten
1844,James Hopper,"Montgomery, N.J.",Montgomery High,2023,mten
1847,Stefan Regalia,"Arlington, Va.",Laurel Springs,2023,mten
1852,Derek Bard,"New Hartford, N.Y.",New Hartford,2013,mgolf
1853,Kyle Kochevar,"Glen Ellyn, Ill.",Glenbard West,2013,mgolf
1854,Alex Lloyd,"Virginia Beach, Va.",Kellam,2013,mgolf
1855,Denny McCarthy,"Rockville, Md.",Georgetown Prep,2013,mgolf
1856,Nick McLaughlin,"New Castle, N.H.",St. John's Prep,2013,mgolf
1857,Ji Park,"Clifton, Va.",Chantilly,2013,mgolf
