,name,Position,Academic Year,Height,Weight,Hometown,High School,Year,sport,Sport
110,"Curtis Fann, Jr.", Defensive End, Fr., 6' 3'' ,250 lbs ," Stillmore, Ga.", Emanuel County Institute,2019,football,
111,Malcolm Ray, Defensive Tackle, Fr., 6' 2'' ,278 lbs ," Miami Gardens, Fla.", Miami Carol City,2019,football,
0,Jashaun Corbin, Running Back, R-So., 6' 0'' ,220 lbs ," Rockledge, Fla.", Rockledge,2020,football,
1,"Fabien Lovett, Sr.", Defensive Tackle, R-So., 6' 4'' ,315 lbs ," Vicksburg, Miss.", Olive Branch,2020,football,
2,Emmett Rice, Linebacker, R-Sr., 6' 2'' ,222 lbs ," Miami Gardens, Fla.", Norland,2020,football,
3,"Jarvis Brownlee, Jr.", Defensive Back, R-Fr., 5' 11'' ,172 lbs ," Miami Gardens, Fla.", Miami Carol City,2020,football,
4,Bryan Robinson, Wide Receiver, Fr., 6' 1'' ,200 lbs ," Boynton Beach, Fla.", Palm Beach Central,2020,football,
5,Alex Eleyssami, Quarterback, R-So., 6' 1'' ,198 lbs ," Orlando, Fla.", First Academy,2020,football,
6,Hamsah Nasirildeen, Defensive Back, Sr., 6' 4'' ,220 lbs ," Concord, N.C.", Concord,2020,football,
7,Dennis Briggs Jr., Defensive Tackle, R-So., 6' 4'' ,282 lbs ," Kissimmee, Fla.", Gateway,2020,football,
8,Keyshawn Helton, Wide Receiver, Jr., 5' 9'' ,171 lbs ," Pensacola, Fla.", West Florida,2020,football,
9,Jarrian Jones, Defensive Back, So., 6' 0'' ,190 lbs ," Magee, Miss.", Northwest Rankin,2020,football,
10,Renardo Green, Defensive Back, So., 6' 0'' ,185 lbs ," Orlando, Fla.", Wekiva,2020,football,
11,La’Damian Webb, Running Back, So., 5' 8'' ,190 lbs ," Opelika, Ala.", Beauregard,2020,football,
12,Meiko Dotson, Defensive Back, R-Sr., 5' 11'' ,195 lbs ," Daytona Beach, Florida", Mainland,2020,football,
13,Lawrance Toafili, Running Back, Fr., 6' 0'' ,180 lbs ," St. Petersburg, Fla.", Pinellas Park,2020,football,
14,Dj Daniels, Running Back, Fr., 6' 2'' ,222 lbs ," Wilson, N.C.", Fike,2020,football,
15,Kevon Glenn, Linebacker, R-Fr., 6' 2'' ,229 lbs ," Riverdale, Ga.", Dutchtown,2020,football,
16,Janarius Robinson, Defensive End, R-Sr., 6' 5'' ,260 lbs ," Panama City, Fla.", Bay,2020,football,
17,Warren Thompson, Wide Receiver, R-So., 6' 3'' ,201 lbs ," Seffner, Fla.", Armwood,2020,football,
18,Chubba Purdy, Quarterback, Fr., 6' 2'' ,212 lbs ," Queen Creek, Ariz.", Perry,2020,football,
19,Demorie Tate, Defensive Back, Fr., 6' 1'' ,190 lbs ," Orlando, Fla.", Freedom,2020,football,
20,Joshua Kaindoh, Defensive End, R-Jr., 6' 7'' ,265 lbs ," Baltimore, Md.", IMG Academy (Fla.),2020,football,
21,Jordan Travis, Quarterback, R-So., 6' 1'' ,200 lbs ," West Palm Beach, Fla.", The Benjamin School,2020,football,
22,Jaleel Mcrae, Linebacker, So., 6' 2'' ,225 lbs ," New Smyrna Beach, Fla.", IMG Academy,2020,football,
23,Deonté Sheffield, Running Back, R-Jr., 5' 10'' ,209 lbs ," Destin, Fla.", Niceville,2020,football,
24,Carlos Becker III, Defensive Back, R-Sr., 6' 2'' ,195 lbs ," Kissimmee, Fla.", Osceola,2020,football,
25,Gino English, Quarterback, R-Fr., 6' 1'' ,198 lbs ," Winter Park, Fla.", Winter Park,2020,football,
26,Corey Wren, Running Back/Athlete, Fr., 5' 10'' ,185 lbs ," New Orleans, La.", John Curtis Christian,2020,football,
27,Travis Jay, Defensive Back, R-Fr., 6' 2'' ,191 lbs ," Greenville, Fla.", Madison County,2020,football,
28,Tate Rodemaker, Quarterback, Fr., 6' 4'' ,197 lbs ," Valdosta, Ga.", Valdosta,2020,football,
29,Wyatt Rector, Tight End, R-So., 6' 2'' ,236 lbs ," Leesburg, Fla.", Leesburg,2020,football,
30,Kalen DeLoach, Linebacker, So., 6' 1'' ,213 lbs ," Savannah, Ga.", Islands,2020,football,
31,Darion Williamson, Wide Receiver, Fr., 6' 3'' ,180 lbs ," Brownsville, Tenn.", Haywood,2020,football,
32,Marvin Wilson, Defensive Tackle, Sr., 6' 5'' ,305 lbs ," Houston, Texas", Episcopal,2020,football,
33,Tj Davis, Defensive End, Fr., 6' 3'' ,270 lbs ," Metter, Ga.", Metter,2020,football,
34,Ja’Khi Douglas, Running Back, Fr., 5' 9'' ,193 lbs ," Houma, La.", Terrebonne,2020,football,
35,Sidney Williams, Defensive Back, Fr., 6' 1'' ,202 lbs ," New Orleans, La.", Vigor (Ala.),2020,football,
36,Tre Young, Wide Receiver, R-Fr., 6' 0'' ,194 lbs ," Atlanta, Ga.", Riverwood International Charter,2020,football,
37,Jadarius Green-Mcknight, Defensive Back, Fr., 5' 11'' ,220 lbs ," Fort Myers, Fla.", Dunbar,2020,football,
38,Cedric Vincent, Wide Receiver, R-Jr., 6' 1'' ,202 lbs ," West Palm Beach, Fla. ", Cardinal Newman,2020,football,
39,Bryson Hill, Wide Receiver, Fr., 5' 8'' ,165 lbs ," Tallahassee, Fla.", St. John Paul II Catholic,2020,football,
40,"Asante Samuel, Jr.", Defensive Back, Jr., 5' 10'' ,184 lbs ," Sunrise, Fla.", St. Thomas Aquinas,2020,football,
41,Akeem Dent, Defensive Back, So., 6' 1'' ,191 lbs ," Pahokee, Fla.", Palm Beach Central,2020,football,
42,Fernando Padron, Wide Receiver, R-So., 5' 7'' ,166 lbs ," Weston, Fla.", Cypress Bay,2020,football,
43,Decalon Brooks, Linebacker, R-Jr., 5' 10'' ,210 lbs ," Tampa, Fla.", Gaither,2020,football,
44,Reggie Harden, Defensive End, Fr., 6' 4'' ,177 lbs ," Jacksonville, Fla.", Raines,2020,football,
45,Quashon Fuller, Defensive End, R-Fr., 6' 3'' ,275 lbs ," Fort Myers, Fla.", Lehigh Senior,2020,football,
46,Tommy Martin, Punter, R-Jr., 5' 11'' ,188 lbs ," Chesapeake, Va.", Hickory,2020,football,
47,Raymond Woodie III, Defensive Back, So., 6' 0'' ,194 lbs ," Palmetto, Fla.", Florida State University School,2020,football,
48,"Stephen Dix, Jr.", Linebacker, Fr., 6' 2'' ,235 lbs ," Orlando, Fla.", Dr. Phillips,2020,football,
49,Amari Gainer, Linebacker, R-So., 6' 3'' ,227 lbs ," Tallahassee, Fla.", Chiles,2020,football,
50,Leonard Warner III, Linebacker, Sr., 6' 4'' ,245 lbs ," Snellville, Ga.", Brookwood,2020,football,
51,Parker Grothaus, Kicker , R-Jr., 6' 2'' ,220 lbs ," Indian Lake, Ohio", Indian Lake,2020,football,
52,Marko Skarica, Defensive Back, Fr., 5' 10'' ,176 lbs ," Tallahassee, Fla.", Lincoln,2020,football,
53,Malakai Menzer, Linebacker, Fr., 6' 1'' ,241 lbs ," Punta Gorda, Fla.", Charlotte,2020,football,
54,Treshaun Ward, Running Back, R-Fr., 5' 10'' ,191 lbs ," Plant City, Fla.", Tampa Bay Tech,2020,football,
55,Josh Griffis, Defensive End, Fr., 6' 4'' ,256 lbs ," Starke, Fla.", IMG Academy,2020,football,
56,Ethan Umstead, Linebacker, R-Fr., 6' 1'' ,232 lbs ," Lake City, Fla.", Columbia,2020,football,
57,Jordan Wilson, Tight End, R-Sr., 6' 4'' ,250 lbs ," Nashville, Tenn.", Montgomery Bell Academy,2020,football,
58,Grant Glennon, Long Snapper, R-Jr., 6' 3'' ,233 lbs ," Tallahassee, Fla.", Lincoln,2020,football,
59,Ben Ostaszewski, Tight End, Fr., 6' 3'' ,246 lbs ," Cumming, Ga.", North Forsyth,2020,football,
60,Garrett Murray, Long Snapper, R-So., 6' 0'' ,218 lbs ," Tampa, Fla.", Plant,2020,football,
61,Deonte Williams, Defensive End, R-Sr., 6' 1'' ,233 lbs ," Plano, Texas", Prestonwood Christian Academy,2020,football,
62,Keoki Abasial, Running Back, R-Fr., 5' 7'' ,170 lbs ," Clearwater, Fla. ", Calvary Christian ,2020,football,
63,Jayion Mccluster, Linebacker, Fr., 6' 1'' ,227 lbs ," Largo, Fla.", Largo,2020,football,
64,Brendan Gant, Defensive Back, So., 6' 2'' ,195 lbs ," Lakeland, Fla.", Kathleen,2020,football,
65,Preston Daniel, Tight End, Fr., 6' 4'' ,235 lbs ," Memphis, Tenn.", Evangelical Christian,2020,football,
66,Tylus Hancock, Defensive Back, R-So., 6' 0'' ,213 lbs ," Marietta, Ga.", Lassiter,2020,football,
67,DJ Lundy, Linebacker, Fr., 6' 1'' ,244 lbs ," Ocilla, Ga.", Irwin County,2020,football,
68,David Stickle, Tight End, Fr., 6' 3'' ,239 lbs ," Pace, Fla.", Pace,2020,football,
69,Carter Boatwright, Tight End, Fr., 6' 4'' ,236 lbs ," Moultrie, Ga.", Colquitt County,2020,football,
70,Marshall Hilaman, Defensive Back, R-Jr., 6' 0'' ,202 lbs ," Tallahassee, Fla.", The First Academy,2020,football,
71,Caden Cunningham, Tight End, Fr., 6' 1'' ,215 lbs ," Lakeland, Fla.", Lake Gibson,2020,football,
72,Jarrett Jackson, Defensive Tackle, R-So., 6' 6'' ,295 lbs ," Riviera Beach, Fla.", Palm Beach Gardens,2020,football,
73,Alex Mastromanno, Punter, Fr., 6' 1'' ,206 lbs ," Melbourne, Australia", Brighton Grammar,2020,football,
74,Baveon Johnson, Offensive Lineman, R-Sr., 6' 3'' ,307 lbs ," Lake Gibson, Fla.", Lake Gibson,2020,football,
75,Chase Oliver, Linebacker, Fr., 6' 1'' ,202 lbs ," Ocala, Fla.", Trinity Catholic,2020,football,
76,Armani Kerr, Linebacker, R-Sr., 5' 11'' ,230 lbs ," Miami, Fla.", Miami Jackson,2020,football,
77,Robert Scott Jr., Offensive Lineman, Fr., 6' 5'' ,320 lbs ," Conway, Ark.", Conway,2020,football,
78,Tyler Gilroy, Linebacker, R-Jr., 5' 11'' ,243 lbs ," St. Augustine, Fla.", Bartram Trail,2020,football,
79,Maurice Smith, Offensive Lineman, R-Fr., 6' 3'' ,286 lbs ," Miami, Fla.", Miami Central,2020,football,
80,Dontae Lucas, Offensive Lineman, So., 6' 3'' ,315 lbs ," Overtown, Fla.", IMG Academy,2020,football,
81,Derrick McLendon II, Defensive End, R-Fr., 6' 4'' ,251 lbs ," Decatur, Ga.", Tucker,2020,football,
82,Zane Herring, Offensive Lineman, Fr., 6' 5'' ,312 lbs ," Madison, Fla.", Madison County,2020,football,
83,Devontay Love-Taylor, Offensive Lineman, R-Sr., 6' 4'' ,315 lbs ," Trinity, Fla.", Mitchell,2020,football,
84,Brady Scott, Offensive Lineman, R-Jr., 6' 6'' ,317 lbs ," Powder Springs, Ga.", Mount Paran Christian,2020,football,
85,Andrew Boselli, Offensive Lineman, R-Sr., 6' 5'' ,321 lbs ," Jacksonville, Fla.", Episcopal,2020,football,
86,Jalen Goss, Offensive Lineman, R-So., 6' 7'' ,271 lbs ," Valdosta, Ga.", Lowndes,2020,football,
87,Dylan Black, Offensive Lineman, Fr., 6' 2'' ,265 lbs ," Leesburg, Fla.", Leesburg,2020,football,
88,Cole Newsome, Offensive Lineman, Fr., 6' 0'' ,250 lbs ," Orlando, Fla.", Bishop Moore,2020,football,
89,Chris Graham, Offensive Lineman, Fr., 6' 3'' ,323 lbs ," Jacksonville, Fla.", Sandalwood,2020,football,
90,Thomas Shrader, Offensive Lineman, Fr., 6' 5'' ,295 lbs ," Venice, Fla.", Venice,2020,football,
91,Robert Elder IV, Offensive Lineman, R-So., 6' 2'' ,266 lbs ," Stuart, Fla.", Jensen Beach,2020,football,
92,Lloyd Willis, Offensive Lineman, Fr., 6' 7'' ,310 lbs ," Miami, Fla.", Killian,2020,football,
93,Chaz Neal, Offensive Lineman, R-So., 6' 7'' ,317 lbs ," Zephyrhills, Fla.", Wesley Chapel,2020,football,
94,Darius Washington, Offensive Lineman, R-Fr., 6' 4'' ,301 lbs ," Pensacola, Fla.", West Florida,2020,football,
95,Ira Henry III, Offensive Lineman, R-Fr., 6' 4'' ,313 lbs ," St. Louis, Mo.", Trinity Catholic,2020,football,
96,Ontaria Wilson, Wide Receiver, R-Jr., 6' 0'' ,174 lbs ," Ashburn, Ga.", Turner County,2020,football,
97,Caleb Faris, Wide Receiver, R-Fr., 5' 8'' ,165 lbs ," Tampa, Fla.", Plant,2020,football,
98,Austin White, Tight End, R-Fr., 6' 5'' ,242 lbs ," Tampa, Fla.", Tampa Catholic,2020,football,
99,Jordan Young, Wide Receiver, R-So., 6' 2'' ,208 lbs ," Conyers, Ga.", Heritage,2020,football,
100,Adarius Dent, Wide Receiver, Jr., 6' 1'' ,175 lbs ," Pahokee, Fla.", Pahokee,2020,football,
101,Markeston Douglas, Tight End, Fr., 6' 4'' ,255 lbs ," Brownsville, Tenn.", Haywood,2020,football,
102,Parker Self, Wide Receiver, Fr., 6' 1'' ,186 lbs ," Hiram, Ga.", South Paulding,2020,football,
103,Camren McDonald, Tight End, Jr., 6' 4'' ,238 lbs ," Long Beach, Calif.", Long Beach Poly,2020,football,
104,Ryan Fitzgerald, Kicker, R-Fr., 6' 1'' ,199 lbs ," Coolidge, Ga.", Colquitt County,2020,football,
105,Kentron Poitier, Wide Receiver, Fr., 6' 3'' ,200 lbs ," Coconut Grove, Fla.", Miami Palmetto,2020,football,
106,Caleb Ward, Wide Receiver, R-So., 6' 1'' ,172 lbs ," Pensacola, Fla.", Booker T. Washington,2020,football,
107,Tru Thompson, Defensive Tackle, So., 6' 0'' ,301 lbs ," Loganville, Ga.", Grayson,2020,football,
108,Robert Cooper, Defensive Tackle, Jr., 6' 2'' ,332 lbs ," Lilburn, Ga.", South Gwinnett,2020,football,
109,Jeb Shrader, Linebacker, Fr., 6' 2'' ,185 lbs ," Venice, Fla.", Venice,2020,football,
110,Aidan Shahriari, Kicker, Fr., 5' 11'' ,179 lbs ," Clearwater, Fla.", Calvary Christian,2020,football,
111,"Curtis Fann, Jr.", Defensive End, R-Fr., 6' 3'' ,265 lbs ," Stillmore, Ga.", Emanuel County Institute,2020,football,
112,Malcolm Ray, Defensive Tackle, R-Fr., 6' 2'' ,287 lbs ," Miami Gardens, Fla.", Miami Carol City,2020,football,
0,Jashaun Corbin, Running Back, R-So., 6' 0'' ,221 lbs ," Rockledge, Fla.", Rockledge,2021,football,
1,"Fabien Lovett, Sr.", Defensive Tackle, R-So., 6' 4'' ,310 lbs ," Vicksburg, Miss.", Olive Branch,2021,football,
2,Emmett Rice, Linebacker, R-Sr., 6' 2'' ,223 lbs ," Miami Gardens, Fla.", Norland,2021,football,
3,D.J. Williams, Running Back, R-So., 5' 10'' ,215 lbs ," Lake Placid, Fla.", Sebring,2021,football,
4,"Jarvis Brownlee, Jr.", Defensive Back, R-Fr., 5' 11'' ,181 lbs ," Miami Gardens, Fla.", Miami Carol City,2021,football,
5,Keir Thomas, Defensive End, R-Sr., 6' 2'' ,272 lbs ," Miami, Fla.", Miami Central,2021,football,
6,Jordan Wilson, Tight End, R-Sr., 6' 4'' ,265 lbs ," Nashville, Tenn.", Montgomery Bell Academy,2021,football,
7,Brendan Gant, Defensive Back, R-So., 6' 2'' ,208 lbs ," Lakeland, Fla.", Kathleen,2021,football,
8,Dennis Briggs Jr., Defensive Tackle, R-So., 6' 4'' ,278 lbs ," Kissimmee, Fla.", Gateway,2021,football,
9,Keyshawn Helton, Wide Receiver, R-Jr., 5' 9'' ,175 lbs ," Pensacola, Fla.", West Florida,2021,football,
10,Jarrian Jones, Defensive Back, R-So., 6' 0'' ,192 lbs ," Magee, Miss.", Northwest Rankin,2021,football,
11,Andrew Parchment, Wide Receiver, R-Sr., 6' 2'' ,190 lbs ," Fort Lauderdale, Fla.", Cypress Bay,2021,football,
12,Renardo Green, Defensive Back, R-So., 6' 0'' ,189 lbs ," Orlando, Fla.", Wekiva,2021,football,
13,Treshaun Ward, Running Back, R-Fr., 5' 10'' ,192 lbs ," Plant City, Fla.", Tampa Bay Tech,2021,football,
14,Meiko Dotson, Defensive Back, R-Sr., 5' 11'' ,197 lbs ," Daytona Beach, Florida", Mainland,2021,football,
15,Lawrance Toafili, Running Back, R-Fr., 6' 0'' ,185 lbs ," St. Petersburg, Fla.", Pinellas Park,2021,football,
16,Mckenzie Milton, Quarterback, R-Sr., 5' 11'' ,189 lbs ," Kapolei, Hawai'i", Mililani,2021,football,
17,Jammie Robinson, Defensive Back, R-So., 5' 11'' ,193 lbs ," Cordele, Ga.", Lee County,2021,football,
18,Jermaine Johnson II, Defensive End, R-Sr., 6' 5'' ,262 lbs ," Eden Prairie, Minn.", Eden Prairie,2021,football,
19,Malik Mcclain, Wide Receiver, Fr., 6' 4'' ,201 lbs ," Daphne, Ala.", IMG Academy (Fla.),2021,football,
20,Demorie Tate, Defensive Back, R-Fr., 6' 1'' ,196 lbs ," Orlando, Fla.", Freedom,2021,football,
21,Jordan Travis, Quarterback, R-So., 6' 1'' ,201 lbs ," West Palm Beach, Fla.", The Benjamin School,2021,football,
22,Marcus Cushnie, Defensive End, R-Jr., 6' 2'' ,250 lbs ," Deerfield Beach, Fla.", Palm Beach Central,2021,football,
23,Gino English, Quarterback, R-Fr., 6' 1'' ,194 lbs ," Winter Park, Fla.", Winter Park,2021,football,
24,Jarques Mcclellion, Defensive Back, R-Jr., 6' 0'' ,185 lbs ," Delray Beach, Fla.", American Heritage School,2021,football,
25,Hunter Washington, Defensive Back, Fr., 5' 11'' ,188 lbs ," Katy, Texas", Katy,2021,football,
26,Corey Wren, Running Back/Athlete, R-Fr., 5' 10'' ,187 lbs ," New Orleans, La.", John Curtis Christian,2021,football,
27,Travis Jay, Defensive Back, R-Fr., 6' 2'' ,203 lbs ," Greenville, Fla.", Madison County,2021,football,
28,Tate Rodemaker, Quarterback, R-Fr., 6' 4'' ,201 lbs ," Valdosta, Ga.", Valdosta,2021,football,
29,Wyatt Rector, Tight End, R-So., 6' 2'' ,234 lbs ," Leesburg, Fla.", Leesburg,2021,football,
30,CJ Campbell Jr., Running Back, Fr., 5' 9'' ,195 lbs ," Kaplan, La.", Bay (Fla.),2021,football,
31,Kalen DeLoach, Linebacker, R-So., 6' 1'' ,220 lbs ," Savannah, Ga.", Islands,2021,football,
32,Alex Mastromanno, Punter, R-Fr., 6' 1'' ,207 lbs ," Melbourne, Australia", Brighton Grammar,2021,football,
33,Darion Williamson, Wide Receiver, R-Fr., 6' 3'' ,200 lbs ," Brownsville, Tenn.", Haywood,2021,football,
34,Tj Davis, Defensive Line, R-Fr., 6' 3'' ,284 lbs ," Metter, Ga.", Metter,2021,football,
35,Ja’Khi Douglas, Running Back, R-Fr., 5' 9'' ,198 lbs ," Houma, La.", Terrebonne,2021,football,
36,Sidney Williams, Defensive Back, R-Fr., 6' 1'' ,201 lbs ," New Orleans, La.", Vigor (Ala.),2021,football,
37,Jadarius Green-Mcknight, Linebacker, R-Fr., 5' 11'' ,218 lbs ," Fort Myers, Fla.", Dunbar,2021,football,
38,De’Mon Henry, Wide Receiver, Fr., 5' 11'' ,180 lbs ," Miami, Fla.", Booker T. Washington,2021,football,
39,Kevin Knowles II, Defensive Back, Fr., 5' 11'' ,184 lbs ," Hollywood, Fla.", McArthur,2021,football,
40,Akeem Dent, Defensive Back, R-So., 6' 1'' ,203 lbs ," Pahokee, Fla.", Palm Beach Central,2021,football,
41,Decalon Brooks, Linebacker, R-Jr., 5' 10'' ,222 lbs ," Tampa, Fla.", Gaither,2021,football,
42,Dj Daniels, Tight End, R-Fr., 6' 2'' ,238 lbs ," Wilson, N.C.", Fike,2021,football,
43,Quashon Fuller, Defensive Line, R-Fr., 6' 3'' ,265 lbs ," Fort Myers, Fla.", Lehigh Senior,2021,football,
44,Jaden Floyd, Defensive Back, Fr., 5' 11'' ,204 lbs ," Winter Garden, Fla.", West Orange,2021,football,
45,"Stephen Dix, Jr.", Linebacker, R-Fr., 6' 2'' ,239 lbs ," Orlando, Fla.", Dr. Phillips,2021,football,
46,Amari Gainer, Linebacker, R-So., 6' 3'' ,237 lbs ," Tallahassee, Fla.", Chiles,2021,football,
47,Koby Gross, Tight End, R-Fr., 6' 1'' ,245 lbs ," San Ramon, Calif.", Pittsburg,2021,football,
48,Leonard Warner III, Defensive End, R-Sr., 6' 4'' ,263 lbs ," Snellville, Ga.", Brookwood,2021,football,
49,Caleb Blake, Defensive Back, R-So., 5' 10'' ,185 lbs ," Winter Haven, Fla.", Bishop Moore Catholic,2021,football,
50,Anthony Weeden, Wide Receiver, Fr., 5' 10'' ,178 lbs ," Orlando, Fla.", Edgewater,2021,football,
51,Omarion Cooper, Defensive Back, Fr., 6' 0'' ,186 lbs ," Lehigh Acres, Fla.", Lehigh Senior,2021,football,
52,Parker Grothaus, Kicker, R-Jr., 6' 2'' ,224 lbs ," Indian Lake, Ohio", Indian Lake,2021,football,
53,Shyheim Brown, Defensive Back, Fr., 6' 2'' ,205 lbs ," Lake City, Fla.", Columbia,2021,football,
54,Vance Nicklaus, Tight End, Fr., 6' 5'' ,229 lbs ," Norcross, Ga.", Wesleyan School,2021,football,
55,Jordan Eubanks, Linebacker, Fr., 6' 2'' ,219 lbs ," Denton, Texas", Guyer,2021,football,
56,Joe Lang, Defensive Back, R-Sr., 6' 0'' ,217 lbs ," Naples, Fla.", Community School,2021,football,
57,Jaleel Mcrae, Linebacker, R-So., 6' 2'' ,230 lbs ," New Smyrna Beach, Fla.", IMG Academy,2021,football,
58,Garrett Murray, Long Snapper, R-So., 6' 0'' ,230 lbs ," Tampa, Fla.", Plant,2021,football,
59,Jayion Mccluster, Linebacker, R-Fr., 6' 1'' ,231 lbs ," Largo, Fla.", Largo,2021,football,
60,Joshua Farmer, Defensive Tackle, Fr., 6' 3'' ,290 lbs ," Port St. Joe, Fla.", Gadsden County,2021,football,
61,Preston Daniel, Tight End, R-Fr., 6' 4'' ,250 lbs ," Memphis, Tenn.", Evangelical Christian,2021,football,
62,Tylus Hancock, Defensive Back, R-So., 6' 0'' ,210 lbs ," Marietta, Ga.", Lassiter,2021,football,
63,DJ Lundy, Linebacker, R-Fr., 6' 1'' ,255 lbs ," Ocilla, Ga.", Irwin County,2021,football,
64,Carter Boatwright, Tight End, R-Fr., 6' 4'' ,240 lbs ," Moultrie, Ga.", Colquitt County,2021,football,
65,Marshall Hilaman, Defensive Back, R-Jr., 6' 0'' ,204 lbs ," Tallahassee, Fla.", The First Academy,2021,football,
66,Jarrett Jackson, Defensive Tackle, R-So., 6' 6'' ,308 lbs ," Riviera Beach, Fla.", Palm Beach Gardens,2021,football,
67,Jackson West, Tight End, Fr., 6' 4'' ,245 lbs ," Huntsville, Ala.", Huntsville,2021,football,
68,James Rosenberry Jr., Long Snapper, R-So., 6' 0'' ,226 lbs ," Delaware, Ohio", Olentangy,2021,football,
69,Baveon Johnson, Offensive Line, R-Sr., 6' 3'' ,313 lbs ," Lake Gibson, Fla.", Lake Gibson,2021,football,
70,Chase Oliver, Linebacker, R-Fr., 6' 1'' ,212 lbs ," Ocala, Fla.", Trinity Catholic,2021,football,
71,Robert Scott Jr., Offensive Line, R-Fr., 6' 5'' ,312 lbs ," Conway, Ark.", Conway,2021,football,
72,"George Wilson, Jr.", Defensive Line, Fr., 6' 4'' ,215 lbs ," Virginia Beach, Virginia", Green Run,2021,football,
73,Cortez Andrews, Linebacker, R-So., 6' 1'' ,245 lbs ," Tallahassee, Fla.", Godby,2021,football,
74,Maurice Smith, Offensive Line, R-Fr., 6' 3'' ,280 lbs ," Miami, Fla.", Miami Central,2021,football,
75,Byron Turner Jr., Defensive Line, Fr., 6' 4'' ,248 lbs ," Port Sulpher, La.", St. Augustine,2021,football,
76,Derrick McLendon II, Defensive End, R-Fr., 6' 4'' ,255 lbs ," Decatur, Ga.", Tucker,2021,football,
77,Zane Herring, Offensive Line, R-Fr., 6' 5'' ,320 lbs ," Madison, Fla.", Madison County,2021,football,
78,Patrick Payton, Defensive Line, Fr., 6' 5'' ,235 lbs ," Miami, Fla.", Miami Northwestern,2021,football,
79,Jack O’Keeffe, Linebacker, Fr., 6' 0'' ,222 lbs ," Fort Lauderdale, Fla.", Cardinal Gibbons,2021,football,
80,Emile Aime, Linebacker, Fr., 5' 9'' ,229 lbs ," Miami Gardens, Fla.", University School,2021,football,
81,Devontay Love-Taylor, Offensive Line, R-Sr., 6' 4'' ,323 lbs ," Trinity, Fla.", Mitchell,2021,football,
82,Brady Scott, Offensive Line, R-Jr., 6' 6'' ,322 lbs ," Powder Springs, Ga.", Mount Paran Christian,2021,football,
83,Jalen Goss, Offensive Line, R-So., 6' 7'' ,290 lbs ," Valdosta, Ga.", Lowndes,2021,football,
84,Dylan Black, Offensive Line, R-Fr., 6' 2'' ,307 lbs ," Leesburg, Fla.", Leesburg,2021,football,
85,Zach Hannaford, Offensive Line, Fr., 6' 2'' ,279 lbs ," Fernandina Beach, Fla.", Fernandina Beach,2021,football,
86,David Stickle, Offensive Line, R-Fr., 6' 3'' ,253 lbs ," Pace, Fla.", Pace,2021,football,
87,Rod Orr, Offensive Line, Fr., 6' 6'' ,309 lbs ," Gadsden, Ala.", Gadsden City,2021,football,
88,Ben Ostaszewski, Offensive Line, R-Fr., 6' 3'' ,271 lbs ," Cumming, Ga.", North Forsyth,2021,football,
89,Thomas Shrader, Offensive Line, R-Fr., 6' 5'' ,305 lbs ," Venice, Fla.", Venice,2021,football,
90,Alto Tarver, Offensive Line, Fr., 6' 3'' ,316 lbs ," Cape Coral, Fla.", Cape Coral,2021,football,
91,Robert Elder IV, Offensive Line, R-So., 6' 2'' ,253 lbs ," Stuart, Fla.", Jensen Beach,2021,football,
92,Lloyd Willis, Offensive Line, R-Fr., 6' 7'' ,327 lbs ," Miami, Fla.", Killian,2021,football,
93,Christopher Williams, Offensive Line, Fr., 6' 5'' ,348 lbs ," Tallahassee, Fla.", Rickards,2021,football,
94,Dillan Gibbons, Offensive Line, R-Jr., 6' 5'' ,321 lbs ," St. Petersburg, Fla.", Clearwater Central Catholic,2021,football,
95,Darius Washington, Offensive Line, R-Fr., 6' 4'' ,294 lbs ," Pensacola, Fla.", West Florida,2021,football,
96,Bryson Estes, Offensive Line, Fr., 6' 3'' ,300 lbs ," McDonough, Ga.", Eagle's Landing Christian Academy,2021,football,
97,Ira Henry III, Offensive Line, R-Fr., 6' 4'' ,314 lbs ," St. Louis, Mo.", Trinity Catholic,2021,football,
98,Ontaria Wilson, Wide Receiver, R-Jr., 6' 0'' ,175 lbs ," Ashburn, Ga.", Turner County,2021,football,
99,Joshua Burrell, Wide Receiver, Fr., 6' 2'' ,224 lbs ," Blythewood, S.C.", Blythewood,2021,football,
100,Austin White, Tight End, R-Fr., 6' 5'' ,247 lbs ," Tampa, Fla.", Tampa Catholic,2021,football,
101,Jordan Young, Wide Receiver, R-So., 6' 2'' ,210 lbs ," Conyers, Ga.", Heritage,2021,football,
102,Fernando Padron, Wide Receiver, R-So., 5' 10'' ,180 lbs ," Weston, Fla.", Cypress Bay,2021,football,
103,Markeston Douglas, Tight End, R-Fr., 6' 4'' ,276 lbs ," Brownsville, Tenn.", Haywood,2021,football,
104,Parker Self, Wide Receiver, R-Fr., 6' 1'' ,193 lbs ," Hiram, Ga.", South Paulding,2021,football,
105,Camren McDonald, Tight End, R-Jr., 6' 4'' ,242 lbs ," Long Beach, Calif.", Long Beach Poly,2021,football,
106,Ryan Fitzgerald, Kicker, R-Fr., 6' 1'' ,201 lbs ," Coolidge, Ga.", Colquitt County,2021,football,
107,Kentron Poitier, Wide Receiver, R-Fr., 6' 3'' ,205 lbs ," Coconut Grove, Fla.", Miami Palmetto,2021,football,
